,观点,情感倾向,具体观点,评论原文,token数,推理时间
0,味道好,正面,塔可味道还可以，如果吃辣的话,- 鸡肉帕尼尼太咸啦，而且很小，我觉得不值这个价塔可味道还可以，如果吃辣的话蛋挞倒是挺好吃,1455,6.949235916
1,牛蛙味道辣,中性,牛蛙泰酷辣,- 牛蛙泰酷辣,1403,7.14881587
2,牛蛙有骨头,负面,谁家塔可吐骨头啊,- 谁家塔可吐骨头啊,1406,9.278687954
3,牛蛙肉量少,负面,塔可的肉很小,- 塔可的肉很小，且厚，咬起来有声响,1416,9.332313061
4,牛蛙肉质硬,负面,且厚，咬起来有声响,- 塔可的肉很小，且厚，咬起来有声响,1416,9.332313061
5,综合评价好,正面,牛蛙塔可 很OK,- 牛蛙塔可 很OK 孩子很喜欢 下次还来吃,1417,4.469134092
6,牛蛙有骨头,负面,牛蛙塔可里面的牛蛙为什么不去骨啊,- 牛蛙塔可里面的牛蛙为什么不去骨啊,1418,5.978162766
7,牛蛙新鲜度差,负面,牛蛙还是生的……,- 牛蛙还是生的……,1401,6.511026859
8,综合评价好,正面,牛蛙塔可很好吃,- 牛蛙塔可很好吃,1404,6.175352097
9,鸡排炸得过度,负面,塔克炸过了,- 塔克炸过了，整个又干又硬,1412,9.151070118
10,鸡排口感硬,负面,整个又干又硬,- 塔克炸过了，整个又干又硬,1412,9.151070118
11,综合评价好,正面,牛蛙塔可还不错哦,- 牛蛙塔可还不错哦,1404,6.353506804
12,味道好,正面,新品牛蛙塔可味道很不错,- 新品牛蛙塔可味道很不错,1408,4.98613596
13,牛蛙肉质硬,负面,牛蛙肉里面生的,- 牛蛙肉里面生的，鸡翅里面生的，无语 [汗]丢了,1423,12.47365785
14,鸡排口感硬,负面,鸡翅里面生的,- 牛蛙肉里面生的，鸡翅里面生的，无语 [汗]丢了,1423,12.47365785
15,综合评价差,负面,无语 [汗]丢了,- 牛蛙肉里面生的，鸡翅里面生的，无语 [汗]丢了,1423,12.47365785
16,综合评价好,正面,塔可好好吃,- 塔可好好吃,1399,4.005587816
17,份量小,负面,塔可好小，没我巴掌大,- 塔可好小，没我巴掌大,1405,5.097016096
18,综合评价好,正面,塔可不错,- 塔可不错,1397,6.691638947
19,综合评价好,正面,新塔可好吃,- 新塔可好吃,1398,4.617904902
20,综合评价差,负面,难吃的要死，塔可和薯条都是冷的，堂食都这样，一下单就过来拿了，没想到还是凉的，就是白天没卖出去放了很久的，一点温度都没有，凉的，难吃还贵，还有人带宠物狗进来也不管，卫生不好，以后永远不会再来这家,- 难吃的要死，塔可和薯条都是冷的，堂食都这样，一下单就过来拿了，没想到还是凉的，就是白天没卖出去放了很久的，一点温度都没有，凉的，难吃还贵，还有人带宠物狗进来也不管，卫生不好，以后永远不会再来这家,1516,45.059659
21,整体冷/凉,负面,塔可和薯条都是冷的，堂食都这样，一下单就过来拿了，没想到还是凉的，就是白天没卖出去放了很久的，一点温度都没有，凉的,- 难吃的要死，塔可和薯条都是冷的，堂食都这样，一下单就过来拿了，没想到还是凉的，就是白天没卖出去放了很久的，一点温度都没有，凉的，难吃还贵，还有人带宠物狗进来也不管，卫生不好，以后永远不会再来这家,1516,45.059659
22,放置时间久,负面,就是白天没卖出去放了很久的,- 难吃的要死，塔可和薯条都是冷的，堂食都这样，一下单就过来拿了，没想到还是凉的，就是白天没卖出去放了很久的，一点温度都没有，凉的，难吃还贵，还有人带宠物狗进来也不管，卫生不好，以后永远不会再来这家,1516,45.059659
23,价格贵,负面,难吃还贵,- 难吃的要死，塔可和薯条都是冷的，堂食都这样，一下单就过来拿了，没想到还是凉的，就是白天没卖出去放了很久的，一点温度都没有，凉的，难吃还贵，还有人带宠物狗进来也不管，卫生不好，以后永远不会再来这家,1516,45.059659
24,不卫生,负面,还有人带宠物狗进来也不管，卫生不好,- 难吃的要死，塔可和薯条都是冷的，堂食都这样，一下单就过来拿了，没想到还是凉的，就是白天没卖出去放了很久的，一点温度都没有，凉的，难吃还贵，还有人带宠物狗进来也不管，卫生不好，以后永远不会再来这家,1516,45.059659
25,牛蛙肉质硬,负面,新品塔可牛蛙有点干,- 新品塔可牛蛙有点干，口感一般,1411,8.147304058
26,口感一般,中性,口感一般,- 新品塔可牛蛙有点干，口感一般,1411,8.147304058
27,综合评价好,正面,牛蛙塔可好吃,- 牛蛙塔可好吃,1402,6.368366003
28,综合评价一般,中性,这真的是牛蛙塔可吗！,- 这真的是牛蛙塔可吗！,1407,4.3714118
29,牛蛙味道好,正面,牛蛙挺好吃的,- 牛蛙挺好吃的,1402,4.579154968
30,综合评价好,正面,塔克很好吃,- 塔克很好吃,1401,4.664419889
31,综合评价好,正面,牛蛙塔可，好吃,- 牛蛙塔可，好吃,1403,4.435155869
32,综合评价好,正面,小姐姐小锅锅态度很好，包装也很好，赞赞赞,- 小姐姐小锅锅态度很好，包装也很好，赞赞赞，牛蛙塔可也好吃！,1435,18.35183311
33,味道好,正面,牛蛙塔可也好吃！,- 小姐姐小锅锅态度很好，包装也很好，赞赞赞，牛蛙塔可也好吃！,1435,18.35183311
34,包装精美,正面,包装也很好,- 小姐姐小锅锅态度很好，包装也很好，赞赞赞，牛蛙塔可也好吃！,1435,18.35183311
35,综合评价好,正面,新品牛蛙拼盘还不错,- 新品牛蛙拼盘还不错，就是太辣了,1413,7.795300722
36,牛蛙味道辣,负面,就是太辣了,- 新品牛蛙拼盘还不错，就是太辣了,1413,7.795300722
37,综合评价好,正面,小牛蛙，行啊，嘎嘎好吃,- 小牛蛙，行啊，嘎嘎好吃,1412,5.916619062
38,综合评价好,正面,牛蛙taco挺好吃的,- 牛蛙taco挺好吃的,1404,8.568893909
39,味道好,正面,刚上市的牛蛙塔可味道不错,- 刚上市的牛蛙塔可味道不错,1409,6.090202093
40,牛蛙肉质嫩,正面,牛蛙肉很嫩,- 牛蛙肉很嫩 好评,1407,10.04274392
41,综合评价好,正面,好评,- 牛蛙肉很嫩 好评,1407,10.04274392
42,综合评价一般,中性,牛蛙塔可，打卡,- 牛蛙塔可，打卡,1403,7.103466988
43,牛蛙味道好,正面,牛蛙很入味,- 牛蛙很入味,1401,5.670482874
44,综合评价好,正面,牛蛙塔可超好吃！,- 牛蛙塔可超好吃！鸡肉也很嫩！,1416,12.70535016
45,鸡排口感软,正面,鸡肉也很嫩！,- 牛蛙塔可超好吃！鸡肉也很嫩！,1416,12.70535016
46,出餐速度慢,负面,等待时间过长，其中塔可青年已经等待几十分钟,- 等待时间过长，其中塔可青年已经等待几十分钟，吮指原味鸡口感极其差吃了这么多年，没有吃过口感这么差,1449,6.367335796
47,份量小,负面,牛蛙塔可太小,- 牛蛙塔可太小，建议油炸改为烤制，外面再加一层饼。牛蛙需要去骨，不然吃起来不方便。,1449,21.155586
48,整体过分熟,负面,建议油炸改为烤制,- 牛蛙塔可太小，建议油炸改为烤制，外面再加一层饼。牛蛙需要去骨，不然吃起来不方便。,1449,21.155586
49,包装不方便,负面,外面再加一层饼,- 牛蛙塔可太小，建议油炸改为烤制，外面再加一层饼。牛蛙需要去骨，不然吃起来不方便。,1449,21.155586
50,牛蛙有骨头,负面,牛蛙需要去骨，不然吃起来不方便,- 牛蛙塔可太小，建议油炸改为烤制，外面再加一层饼。牛蛙需要去骨，不然吃起来不方便。,1449,21.155586
51,出餐速度慢,负面,等待时间过长,- 等待时间过长 塔可不太焦脆 可能是外带的原因,1420,13.39199829
52,鸡排酥脆度差,负面,塔可不太焦脆,- 等待时间过长 塔可不太焦脆 可能是外带的原因,1420,13.39199829
53,包装不方便,负面,可能是外带的原因,- 等待时间过长 塔可不太焦脆 可能是外带的原因,1420,13.39199829
54,综合评价好,正面,牛蛙塔可赞,- 牛蛙塔可赞 就是太小了 不够吃额 能不能做大一点 太小气了,1428,13.03192782
55,份量小,负面,就是太小了 不够吃额,- 牛蛙塔可赞 就是太小了 不够吃额 能不能做大一点 太小气了,1428,13.03192782
56,综合评价好,正面,新品塔可也非常好吃,- 来店里吃新品啦，桃湖公园店服务态度很好，店内环境干净整洁，新品塔可也非常好吃，鲜嫩多吃！！！开心滴周末！,1461,10.30407214
57,口感好,正面,鲜嫩多吃,- 来店里吃新品啦，桃湖公园店服务态度很好，店内环境干净整洁，新品塔可也非常好吃，鲜嫩多吃！！！开心滴周末！,1461,10.30407214
58,综合评价好,正面,非常棒，大青蛙腿塔可,- 非常棒，大青蛙腿塔可,1410,6.173301935
59,综合评价好,正面,牛蛙塔很棒,- 牛蛙塔很棒,1402,5.335860014
60,综合评价好,正面,服务态度很好,- 服务态度很好，新品牛蛙塔可味道不错,1414,9.611419201
61,牛蛙味道好,正面,新品牛蛙塔可味道不错,- 服务态度很好，新品牛蛙塔可味道不错,1414,9.611419201
62,份量小,负面,牛蛙朋克太小，太迷你,- 牛蛙朋克太小，太迷你,1409,5.228135824
63,综合评价好,正面,塔可挺好吃,- 辣翅有点偏咸，塔可挺好吃，特别喜欢那个牛蛙,1427,11.73980594
64,牛蛙味道好,正面,特别喜欢那个牛蛙,- 辣翅有点偏咸，塔可挺好吃，特别喜欢那个牛蛙,1427,11.73980594
65,商品漏配,负面,少了个塔可,- 少了个塔可,1398,5.937106133
66,商品漏配,负面,少了个塔可,- 少了个塔可,1398,3.989279985
67,综合评价好,正面,新品的牛蛙塔可真的超级超级好吃,- 新品的牛蛙塔可真的超级超级好吃。牛蛙脑袋满足。,1426,12.49971199
68,牛蛙味道好,正面,牛蛙脑袋满足,- 新品的牛蛙塔可真的超级超级好吃。牛蛙脑袋满足。,1426,12.49971199
69,综合评价差,负面,这个塔可不是很好吃,- 这个塔可不是很好吃……肉排不是很嫩，外皮有点硬，没有爆汁的感觉，有点干巴巴的，酱料建议再研究改改味道。,1461,20.85957193
70,鸡排口感硬,负面,肉排不是很嫩，外皮有点硬,- 这个塔可不是很好吃……肉排不是很嫩，外皮有点硬，没有爆汁的感觉，有点干巴巴的，酱料建议再研究改改味道。,1461,20.85957193
71,整体干/硬/焦,负面,没有爆汁的感觉，有点干巴巴的,- 这个塔可不是很好吃……肉排不是很嫩，外皮有点硬，没有爆汁的感觉，有点干巴巴的，酱料建议再研究改改味道。,1461,20.85957193
72,酱料味道一般,负面,酱料建议再研究改改味道,- 这个塔可不是很好吃……肉排不是很嫩，外皮有点硬，没有爆汁的感觉，有点干巴巴的，酱料建议再研究改改味道。,1461,20.85957193
73,综合评价差,负面,差评，超级塔克和青年塔克除了肉去他的都是冰的，包括虾也是冰的！,- 差评，超级塔克和青年塔克除了肉去他的都是冰的，包括虾也是冰的！,1433,18.52232194
74,整体冷/凉,负面,除了肉去他的都是冰的，包括虾也是冰的！,- 差评，超级塔克和青年塔克除了肉去他的都是冰的，包括虾也是冰的！,1433,18.52232194
75,综合评价好,正面,牛蛙塔可好吃,- 牛蛙塔可好吃,1402,5.896631002
76,综合评价好,正面,牛蛙塔克好吃,- 牛蛙塔克好吃,1403,4.138975143
77,整体冷/凉,负面,牛蛙塔克有点凉,- 牛蛙塔克有点凉，蛋挞以前吃的都是酥的有些膨胀，今天的像缩水了,1437,5.369090796
78,综合评价好,正面,超级好吃,- 超级好吃，牛蛙肉很大块,1411,9.981274843
79,牛蛙肉量多,正面,牛蛙肉很大块,- 超级好吃，牛蛙肉很大块,1411,9.981274843
80,出餐速度慢,负面,塔可等了很久，问还有多久能好，说不出具体时间，就说在做了,- 塔可等了很久，问还有多久能好，说不出具体时间，就说在做了,1424,6.151309967
81,综合评价差,负面,牛蛙塔克差点意思,- 牛蛙塔克差点意思,1405,8.187154055
82,份量小,负面,塔可太小了，两口就没了,- 塔可太小了，两口就没了，下次做大点,1412,6.164168835
83,牛蛙味道好,正面,牛蛙好吃,- 牛蛙好吃,1399,4.287831068
84,牛蛙味道辣,负面,牛蛙塔可太辣了,- 牛蛙塔可太辣了,1404,5.469578028
85,出餐速度慢,负面,由于塔克需要现炸，等待时间较长,- 0号服务员很热情，由于塔克需要现炸，等待时间较长，她让我先坐下，之后主动送餐到桌上。我很满意,1451,12.480762
86,综合评价好,正面,0号服务员很热情，她让我先坐下，之后主动送餐到桌上。我很满意,- 0号服务员很热情，由于塔克需要现炸，等待时间较长，她让我先坐下，之后主动送餐到桌上。我很满意,1451,12.480762
87,综合评价差,负面,低分是给汉堡和牛蛙塔可的,- 低分是给汉堡和牛蛙塔可的，黄金spa鸡排堡（藤椒味）的鸡排炸的太干了，一点湿度都没有，鸡肉特别的柴。牛蛙塔可的鸡肉也是炸的特别干，比鸡排堡的还要干，鸡肉也是特别柴，还特别的薄，也就一口肉，剩下吃的感觉全是裹的面粉炸出来的那种，牛蛙也特别小特别小一块。,1573,41.99339104
88,炸得干/硬/焦,负面,黄金spa鸡排堡（藤椒味）的鸡排炸的太干了，一点湿度都没有，鸡肉特别的柴。牛蛙塔可的鸡肉也是炸的特别干，比鸡排堡的还要干,- 低分是给汉堡和牛蛙塔可的，黄金spa鸡排堡（藤椒味）的鸡排炸的太干了，一点湿度都没有，鸡肉特别的柴。牛蛙塔可的鸡肉也是炸的特别干，比鸡排堡的还要干，鸡肉也是特别柴，还特别的薄，也就一口肉，剩下吃的感觉全是裹的面粉炸出来的那种，牛蛙也特别小特别小一块。,1573,41.99339104
89,鸡排口感硬,负面,鸡肉特别的柴,- 低分是给汉堡和牛蛙塔可的，黄金spa鸡排堡（藤椒味）的鸡排炸的太干了，一点湿度都没有，鸡肉特别的柴。牛蛙塔可的鸡肉也是炸的特别干，比鸡排堡的还要干，鸡肉也是特别柴，还特别的薄，也就一口肉，剩下吃的感觉全是裹的面粉炸出来的那种，牛蛙也特别小特别小一块。,1573,41.99339104
90,鸡排分量少,负面,鸡肉也是特别柴，还特别的薄，也就一口肉，剩下吃的感觉全是裹的面粉炸出来的那种,- 低分是给汉堡和牛蛙塔可的，黄金spa鸡排堡（藤椒味）的鸡排炸的太干了，一点湿度都没有，鸡肉特别的柴。牛蛙塔可的鸡肉也是炸的特别干，比鸡排堡的还要干，鸡肉也是特别柴，还特别的薄，也就一口肉，剩下吃的感觉全是裹的面粉炸出来的那种，牛蛙也特别小特别小一块。,1573,41.99339104
91,牛蛙肉量少,负面,牛蛙也特别小特别小一块,- 低分是给汉堡和牛蛙塔可的，黄金spa鸡排堡（藤椒味）的鸡排炸的太干了，一点湿度都没有，鸡肉特别的柴。牛蛙塔可的鸡肉也是炸的特别干，比鸡排堡的还要干，鸡肉也是特别柴，还特别的薄，也就一口肉，剩下吃的感觉全是裹的面粉炸出来的那种，牛蛙也特别小特别小一块。,1573,41.99339104
92,价格贵,负面,太贵，食物跟价值不匹配,- 太贵，食物跟价值不匹配！新品牛蛙不好吃！,1420,11.44555521
93,味道差,负面,新品牛蛙不好吃,- 太贵，食物跟价值不匹配！新品牛蛙不好吃！,1420,11.44555521
94,综合评价好,正面,尝试了新品牛蛙塔克，好吃,- 尝试了新品牛蛙塔克，好吃,1410,7.511774778
95,综合评价好,正面,塔可很好吃,- 小刘很贴心，塔可很好吃，小刘能裹粉加油！下次还想吃小刘做的take,1436,4.839580059
96,出餐速度慢,负面,因为一直没有人做塔可，导致等餐等了快半小时,- 在柜台点了塔可双人餐，因为一直没有人做塔可，导致等餐等了快半小时，取餐叫到270多号，旁边215的人还在等塔可，然后一直催，才开始有人做塔可。好歹均衡一下汉堡、塔可和其他东西的出餐顺序,1506,6.878246069
97,牛蛙味道好,正面,牛蛙口味不错,- 牛蛙口味不错,1401,5.483420134
98,牛蛙味道好,正面,牛蛙口味不错,- 牛蛙口味不错,1401,5.972775936
99,综合评价好,正面,满意，新品牛蛙塔克味道不错,- 满意，新品牛蛙塔克味道不错,1412,10.04792905
100,味道好,正面,新品牛蛙塔克味道不错,- 满意，新品牛蛙塔克味道不错,1412,10.04792905
101,牛蛙味道好,正面,牛蛙赞,- 牛蛙赞,1398,4.755037069
102,牛蛙味道好,正面,牛蛙好吃,- 牛蛙好吃,1399,6.403139114
103,综合评价好,正面,牛蛙塔可好吃,- 牛蛙塔可好吃,1402,5.083593369
104,牛蛙肉量少,负面,牛蛙塔可只有两小块儿牛蛙肉,- 小龙虾塔可只有两个小龙虾，牛蛙塔可只有两小块儿牛蛙肉，还有骨头,1441,9.417953968
105,牛蛙有骨头,负面,还有骨头,- 小龙虾塔可只有两个小龙虾，牛蛙塔可只有两小块儿牛蛙肉，还有骨头,1441,9.417953968
106,牛蛙有骨头,负面,塔克的牛蛙骨头真的不要那么多谢谢,- 塔克的牛蛙骨头真的不要那么多谢谢,1418,8.191949129
107,牛蛙肉量多,正面,牛蛙挺大啊,- 牛蛙挺大啊,1401,5.898570061
108,份量小,负面,牛蛙塔可太太太小了，怎么会这么小还没巴掌大,- 牛蛙塔可太太太小了，怎么会这么小还没巴掌大？这么小一个14块？？,1431,13.03056288
109,价格贵,负面,这么小一个14块,- 牛蛙塔可太太太小了，怎么会这么小还没巴掌大？这么小一个14块？？,1431,13.03056288
110,牛蛙肉质嫩,正面,牛蛙肉很软,- 牛蛙肉很软，就是太辣了,1409,9.648880959
111,牛蛙味道辣,负面,就是太辣了,- 牛蛙肉很软，就是太辣了,1409,9.648880959
112,出餐速度慢,负面,结果等到我半个小后到店里了才跟我说生椰卷没了,- 太过分了！我点了一份买一送一的生椰卷和一份牛蛙塔可～结果等到我半个小后到店里了才跟我说生椰卷没了？？？？没了系统为什么还能点？？？？然后我的塔可也不知道给我放货柜保温～我吃的时候都凉了！！！！还要我整单退款我重点！浪费我时间精力给我增加工作量！！！！简直欺人太甚岂有此理！太过分了！这让我很不愉快！,1565,20.14062405
113,商品售罄,负面,生椰卷没了,- 太过分了！我点了一份买一送一的生椰卷和一份牛蛙塔可～结果等到我半个小后到店里了才跟我说生椰卷没了？？？？没了系统为什么还能点？？？？然后我的塔可也不知道给我放货柜保温～我吃的时候都凉了！！！！还要我整单退款我重点！浪费我时间精力给我增加工作量！！！！简直欺人太甚岂有此理！太过分了！这让我很不愉快！,1565,20.14062405
114,放置时间久,负面,我的塔可也不知道给我放货柜保温,- 太过分了！我点了一份买一送一的生椰卷和一份牛蛙塔可～结果等到我半个小后到店里了才跟我说生椰卷没了？？？？没了系统为什么还能点？？？？然后我的塔可也不知道给我放货柜保温～我吃的时候都凉了！！！！还要我整单退款我重点！浪费我时间精力给我增加工作量！！！！简直欺人太甚岂有此理！太过分了！这让我很不愉快！,1565,20.14062405
115,整体冷/凉,负面,我吃的时候都凉了,- 太过分了！我点了一份买一送一的生椰卷和一份牛蛙塔可～结果等到我半个小后到店里了才跟我说生椰卷没了？？？？没了系统为什么还能点？？？？然后我的塔可也不知道给我放货柜保温～我吃的时候都凉了！！！！还要我整单退款我重点！浪费我时间精力给我增加工作量！！！！简直欺人太甚岂有此理！太过分了！这让我很不愉快！,1565,20.14062405
116,综合评价差,负面,那什么玩意儿啊，鸡排那么小一块儿全是干巴的，牛蛙不知道放了多久都干了，垃圾，用券就给垃圾是吧,- 那什么玩意儿啊，鸡排那么小一块儿全是干巴的，牛蛙不知道放了多久都干了，垃圾，用券就给垃圾是吧,1465,34.98110795
117,鸡排分量少,负面,鸡排那么小一块儿,- 那什么玩意儿啊，鸡排那么小一块儿全是干巴的，牛蛙不知道放了多久都干了，垃圾，用券就给垃圾是吧,1465,34.98110795
118,鸡排炸得干/硬/焦,负面,鸡排那么小一块儿全是干巴的,- 那什么玩意儿啊，鸡排那么小一块儿全是干巴的，牛蛙不知道放了多久都干了，垃圾，用券就给垃圾是吧,1465,34.98110795
119,放置时间久,负面,牛蛙不知道放了多久都干了,- 那什么玩意儿啊，鸡排那么小一块儿全是干巴的，牛蛙不知道放了多久都干了，垃圾，用券就给垃圾是吧,1465,34.98110795
120,牛蛙肉质硬,负面,牛蛙不知道放了多久都干了,- 那什么玩意儿啊，鸡排那么小一块儿全是干巴的，牛蛙不知道放了多久都干了，垃圾，用券就给垃圾是吧,1465,34.98110795
121,味道好,正面,塔可好吃,- 塔可好吃,1398,3.853272915
122,综合评价好,正面,第一次吃牛蛙塔可，味道太赞了。店里大姐服务也很好，好评周末还会在来吃。,- 第一次吃牛蛙塔可，味道太赞了。店里大姐服务也很好，好评周末还会在来吃。,1436,10.77343392
123,味道好,正面,第一次吃牛蛙塔可，味道太赞了。,- 第一次吃牛蛙塔可，味道太赞了。店里大姐服务也很好，好评周末还会在来吃。,1436,10.77343392
124,商品漏配,负面,有一个塔克没放牛蛙,- 有一个塔克没放牛蛙,1405,6.781362772
125,牛蛙味道差,负面,牛蛙的这个镇的不好吃,- 牛蛙的这个镇的不好吃,1406,7.50519681
126,商品漏配,负面,才发现少了个牛蛙塔,- 吃了很多次KFC，以前基本没有核对餐品有没有齐，今天突然感觉不对，一看似乎少了一个一个东西。牛蛙塔第一次点，不知道长啥样，一开始还以为少了个香辣黄金鸡，后面去前台核实，才发现少了个牛蛙塔。。要不是脑子灵光一闪，还真就漏了这个塔塔，希望服务员以后认真点吧。这次仁慈一些，不差评了，下不为例。,1566,4.729882956
127,综合评价差,负面,塔克青年也太小了，还不如开个原味鸡。哎,- 塔克青年也太小了，还不如开个原味鸡。哎,1419,10.14356804
128,份量小,负面,塔克青年也太小了,- 塔克青年也太小了，还不如开个原味鸡。哎,1419,10.14356804
129,综合评价好,正面,塔克还行,- 塔克还行,1398,3.907742977
130,综合评价好,正面,新品塔可还是不错的,- 新品塔可还是不错的 就是有点小 但是这个价格值了,1415,12.35161304
131,份量小,负面,就是有点小,- 新品塔可还是不错的 就是有点小 但是这个价格值了,1415,12.35161304
132,价格适中,正面,但是这个价格值了,- 新品塔可还是不错的 就是有点小 但是这个价格值了,1415,12.35161304
133,综合评价好,正面,牛蛙塔可好吃,- 服务态度好。牛蛙塔可好吃。,1408,5.788122177
134,包装不方便,负面,塔克吃起来不方便,- 塔克吃起来不方便，可乐的口太小了喝不怎么到,1421,5.171859026
135,牛蛙味道好,正面,牛蛙好吃,- 牛蛙好吃,1399,6.540585041
136,味道好,正面,塔可很好吃,- 塔可很好吃,1400,4.501757145
137,商品错配,负面,牛蛙塔克的鸡排没有放鸡肉,- 牛蛙塔克的鸡排没有放鸡肉，干嚼生胶，难以下咽,1428,12.58666015
138,鸡排口感硬,负面,干嚼生胶，难以下咽,- 牛蛙塔克的鸡排没有放鸡肉，干嚼生胶，难以下咽,1428,12.58666015
139,综合评价好,正面,青蛙塔可好吃,- 青蛙塔可好吃,1403,8.303100824
140,综合评价差,负面,那个牛蛙什么，不是很好吃哎,- 那个牛蛙什么，不是很好吃哎，然后真的好小一个，也不是很好看,1429,11.31866908
141,份量小,负面,然后真的好小一个,- 那个牛蛙什么，不是很好吃哎，然后真的好小一个，也不是很好看,1429,11.31866908
142,包装简陋,负面,也不是很好看,- 那个牛蛙什么，不是很好吃哎，然后真的好小一个，也不是很好看,1429,11.31866908
143,综合评价好,正面,就很棒的牛蛙大腿,- 就很棒的牛蛙大腿,1407,7.904715061
144,综合评价差,负面,差评,- 差评，出餐速度太慢了，一个塔可等了20多分钟,1417,27.52029204
145,出餐速度慢,负面,出餐速度太慢了，一个塔可等了20多分钟,- 差评，出餐速度太慢了，一个塔可等了20多分钟,1417,27.52029204
146,综合评价差,负面,不满意，我点了4个塔克，打包带走，服务员一次性手套没给配，蕃茄酱也没给配，还一直让我好评。差评还差不多！,- 不满意，我点了4个塔克，打包带走，服务员一次性手套没给配，蕃茄酱也没给配，还一直让我好评。差评还差不多！,1456,16.83368802
147,商品漏配,负面,服务员一次性手套没给配，蕃茄酱也没给配,- 不满意，我点了4个塔克，打包带走，服务员一次性手套没给配，蕃茄酱也没给配，还一直让我好评。差评还差不多！,1456,16.83368802
148,牛蛙味道好,正面,牛蛙好吃,- 牛蛙好吃,1399,6.329385042
149,牛蛙有骨头,负面,牛蛙塔可里面的牛蛙居然还有骨头,- 牛蛙塔可里面的牛蛙居然还有骨头，而且一点都不好吃,1427,11.06761169
150,味道差,负面,而且一点都不好吃,- 牛蛙塔可里面的牛蛙居然还有骨头，而且一点都不好吃,1427,11.06761169
151,味道好,正面,牛蛙塔味道嘎嘎香,- 牛蛙塔味道嘎嘎香,1409,7.367809057
152,综合评价好,正面,牛蛙塔可好吃,- 牛蛙塔可好吃，主要是经理特,1409,5.934049129
153,综合评价好,正面,新品牛蛙塔可强烈推荐,- 新品牛蛙塔可强烈推荐,1409,6.450572968
154,综合评价好,正面,好评,- 好评  虽然差点就错过一个塔可了,1411,4.007399321
155,出餐速度慢,负面,从没等过这么久,- 从没等过这么久 塔可做的水准也不一样,1414,12.12495375
156,综合评价一般,中性,塔可做的水准也不一样,- 从没等过这么久 塔可做的水准也不一样,1414,12.12495375
157,整体冷/凉,负面,鸡米花是冷的,- 鸡米花是冷的，牛蛙的腥味没有避到，其他的不错,1422,15.67788601
158,牛蛙味道腥,负面,牛蛙的腥味没有避到,- 鸡米花是冷的，牛蛙的腥味没有避到，其他的不错,1422,15.67788601
159,综合评价好,正面,其他的不错,- 鸡米花是冷的，牛蛙的腥味没有避到，其他的不错,1422,15.67788601
160,综合评价差,负面,新出的塔可，我的评价是：一坨,- 新出的塔可，我的评价是：一坨,1406,5.905327082
161,味道好,正面,塔可好吃,- 塔可好吃,1398,3.3801229
162,味道好,正面,塔可真好吃,- 塔可真好吃,1399,3.714877129
163,综合评价好,正面,两星是给牛蛙塔可的很好吃,- 这个汉堡可以评上最难吃汉堡，像上周剩下的，干瘪的糊味的，又柴又老还没有酱，吃到最后才发现是有一滴沙拉酱的，两星是给牛蛙塔可的很好吃,1485,6.09523201
164,综合评价好,正面,牛蛙塔可很好吃，期待新品,- 牛蛙塔可很好吃，期待新品,1409,8.704633713
165,牛蛙味道好,正面,牛蛙真的很不错,- 牛蛙真的很不错,1402,5.825192928
