,观点,情感倾向,具体观点,评论原文,token数,推理时间
166,综合评价一般,中性,牛蛙塔可还行,- 牛蛙塔可还行,1401,5.04480195
167,综合评价好,正面,新上的牛蛙塔可好好吃呀,- 新上的牛蛙塔可好好吃呀。,1408,6.662039042
168,商品漏配,负面,小龙虾塔可里为什么没有小龙虾？之前不都有吗，图片是也有啊,- 小龙虾塔可里为什么没有小龙虾？之前不都有吗，图片是也有啊,1426,6.930230856
169,整体冷/凉,负面,汉堡和塔可，鸡米花鸡翅都是凉的,- 汉堡和塔可，鸡米花鸡翅都是凉的,1418,6.139786959
170,综合评价好,正面,牛蛙报吃,- 牛蛙报吃,1399,5.226354122
171,综合评价一般,中性,新品牛蛙塔可评价一般,- 服务员和值班经理都很友善友好，细心发现顾客的潜在问题并给了很好的解决，新品牛蛙塔可评价一般，但是整体服务非常满意,1460,5.216629982
172,综合评价好,正面,塔克青年很好吃 个人觉得很赞,- 塔克青年很好吃 个人觉得很赞,1414,4.728576899
173,综合评价一般,中性,还是龙虾塔可好吃,- 还是龙虾塔可好吃,1404,6.294132233
174,牛蛙味道好,正面,牛蛙好,- 牛蛙好,1397,5.915240049
175,综合评价好,正面,新品塔可很不错,- 新品塔可很不错,1400,5.480562925
176,牛蛙有骨头,负面,我还以为牛蛙肉是去骨的，结果有骨头，这就像汉堡里带鸡骨头一样让人无法接受,- 咱们这个牛蛙taco，我还以为牛蛙肉是去骨的，结果有骨头，这就像汉堡里带鸡骨头一样让人无法接受，要么你们干脆就只卖牛蛙么，何必多此一举。,1485,21.28567696
177,综合评价差,负面,要么你们干脆就只卖牛蛙么，何必多此一举,- 咱们这个牛蛙taco，我还以为牛蛙肉是去骨的，结果有骨头，这就像汉堡里带鸡骨头一样让人无法接受，要么你们干脆就只卖牛蛙么，何必多此一举。,1485,21.28567696
178,牛蛙有骨头,负面,我还以为牛蛙肉是去骨的，结果有骨头，这就像汉堡里带鸡骨头一样让人无法接受,- 咱们这个牛蛙taco，我还以为牛蛙肉是去骨的，结果有骨头，这就像汉堡里带鸡骨头一样让人无法接受，要么你们干脆就只卖牛蛙么，何必多此一举。,1485,6.710147858
179,综合评价差,负面,牛蛙塔可很难吃,- 牛蛙塔可很难吃,1405,4.429016113
180,综合评价差,负面,下回不建议出青年版塔可了,- 下回不建议出青年版塔可了,1405,5.213105917
181,综合评价一般,中性,今天K了一下牛蛙塔可，还可以,- 今天K了一下牛蛙塔可，还可以,1409,7.955870152
182,综合评价好,正面,喜欢牛蛙塔可,- 喜欢牛蛙塔可和蛋挞,1410,7.119709969
183,综合评价好,正面,牛蛙塔可好吃,- 牛蛙塔可好吃,1402,4.541230917
184,综合评价好,正面,牛蛙塔可不错,- 牛蛙塔可不错,1401,4.889551878
185,牛蛙肉质硬,负面,牛蛙肉都干了,- 牛蛙肉都干了  鸡肉也是硬的,1413,14.61070275
186,鸡排口感硬,负面,鸡肉也是硬的,- 牛蛙肉都干了  鸡肉也是硬的,1413,14.61070275
187,综合评价好,正面,牛蛙塔可好吃,- 牛蛙塔可好吃,1402,5.955614805
188,综合评价好,正面,新出的牛蛙塔可好吃,- 新出的牛蛙塔可好吃,1405,5.431527853
189,综合评价差,负面,新出的牛蛙taco...不是太好吃,- 新出的牛蛙taco炸的太老了 咬不动 不是太好吃,1421,14.2395432
190,炸得干/硬/焦,负面,新出的牛蛙taco炸的太老了,- 新出的牛蛙taco炸的太老了 咬不动 不是太好吃,1421,14.2395432
191,口感差,负面,咬不动,- 新出的牛蛙taco炸的太老了 咬不动 不是太好吃,1421,14.2395432
192,牛蛙味道差,负面,牛蛙不好吃,- 牛蛙不好吃,1400,5.302892685
193,综合评价差,负面,新品牛蛙塔克，真的，有点难吃,- 新品牛蛙塔克，真的，有点难吃，牛蛙块儿小不说，鸡块偏硬，配料和酱，更是一言难尽，热辣鸡也是一如既往地又干又硬，新品试吃很失望,1489,26.33003283
194,牛蛙肉量少,负面,牛蛙块儿小不说,- 新品牛蛙塔克，真的，有点难吃，牛蛙块儿小不说，鸡块偏硬，配料和酱，更是一言难尽，热辣鸡也是一如既往地又干又硬，新品试吃很失望,1489,26.33003283
195,鸡排口感硬,负面,鸡块偏硬,- 新品牛蛙塔克，真的，有点难吃，牛蛙块儿小不说，鸡块偏硬，配料和酱，更是一言难尽，热辣鸡也是一如既往地又干又硬，新品试吃很失望,1489,26.33003283
196,酱料配比不合适,负面,配料和酱，更是一言难尽,- 新品牛蛙塔克，真的，有点难吃，牛蛙块儿小不说，鸡块偏硬，配料和酱，更是一言难尽，热辣鸡也是一如既往地又干又硬，新品试吃很失望,1489,26.33003283
197,炸得干/硬/焦,负面,热辣鸡也是一如既往地又干又硬,- 新品牛蛙塔克，真的，有点难吃，牛蛙块儿小不说，鸡块偏硬，配料和酱，更是一言难尽，热辣鸡也是一如既往地又干又硬，新品试吃很失望,1489,26.33003283
198,综合评价好,正面,牛蛙塔可，非常新奇,- 牛蛙塔可，非常新奇，牛蛙也很好吃，鸡排也很脆，就是太太太太小了点，14元感觉应该会很大的哈哈哈，多想了～,1464,27.21950626
199,牛蛙味道好,正面,牛蛙也很好吃,- 牛蛙塔可，非常新奇，牛蛙也很好吃，鸡排也很脆，就是太太太太小了点，14元感觉应该会很大的哈哈哈，多想了～,1464,27.21950626
200,鸡排酥脆度好,正面,鸡排也很脆,- 牛蛙塔可，非常新奇，牛蛙也很好吃，鸡排也很脆，就是太太太太小了点，14元感觉应该会很大的哈哈哈，多想了～,1464,27.21950626
201,份量小,负面,就是太太太太小了点,- 牛蛙塔可，非常新奇，牛蛙也很好吃，鸡排也很脆，就是太太太太小了点，14元感觉应该会很大的哈哈哈，多想了～,1464,27.21950626
202,价格贵,负面,14元感觉应该会很大的哈哈哈，多想了～,- 牛蛙塔可，非常新奇，牛蛙也很好吃，鸡排也很脆，就是太太太太小了点，14元感觉应该会很大的哈哈哈，多想了～,1464,27.21950626
203,牛蛙有骨头,负面,新塔克有骨头怪怪的,- 新塔克有骨头怪怪的，还是原来的好吃,1415,11.61187911
204,综合评价好,正面,还是原来的好吃,- 新塔克有骨头怪怪的，还是原来的好吃,1415,11.61187911
205,商品错配,负面,我买的是牛蛙塔可，可给的是小龙虾塔可,- 我买的是牛蛙塔可，可给的是小龙虾塔可,1418,8.608436108
206,份量小,负面,牛蛙塔可太小了,- 牛蛙塔可太小了，太贵了,1409,7.696988106
207,价格贵,负面,太贵了,- 牛蛙塔可太小了，太贵了,1409,7.696988106
208,牛蛙味道好,正面,牛蛙很棒,- 牛蛙很棒,1400,4.341146946
209,整体冷/凉,负面,两个taco，鸡排都是凉的,- 两个taco，鸡排都是凉的，非常影响口感,1414,9.472711086
210,口感差,负面,非常影响口感,- 两个taco，鸡排都是凉的，非常影响口感,1414,9.472711086
211,味道好,正面,塔可好吃,- 塔可好吃,1398,4.993347168
212,味道好,正面,塔克味道很赞,- 塔克味道很赞，蛋挞也绝绝子，服务员小姐姐也超级温柔可爱,1433,6.633015633
213,综合评价好,正面,塔克就是好吃,- 塔克就是好吃下次还来吃,1407,4.167124033
214,味道好,正面,旧塔可好吃,- 旧塔可好吃,1400,8.705681324
215,牛蛙味道好,正面,牛蛙味道不错呦,- 牛蛙味道不错呦,1403,3.981750011
216,牛蛙味道差,负面,牛蛙不好吃,- 牛蛙不好吃,1400,6.063510895
217,不卫生,负面,店里补蝇灯啥的得安排上，在旁边飞来飞去的,- 店里补蝇灯啥的得安排上，在旁边飞来飞去的；牛蛙塔可，牛蛙味道不错，鸡排没啥味；烤翅放置有点久，肉质偏硬,1472,20.20538187
218,牛蛙味道好,正面,牛蛙塔可，牛蛙味道不错,- 店里补蝇灯啥的得安排上，在旁边飞来飞去的；牛蛙塔可，牛蛙味道不错，鸡排没啥味；烤翅放置有点久，肉质偏硬,1472,20.20538187
219,鸡排口感硬,负面,鸡排没啥味,- 店里补蝇灯啥的得安排上，在旁边飞来飞去的；牛蛙塔可，牛蛙味道不错，鸡排没啥味；烤翅放置有点久，肉质偏硬,1472,20.20538187
220,放置时间久,负面,烤翅放置有点久，肉质偏硬,- 店里补蝇灯啥的得安排上，在旁边飞来飞去的；牛蛙塔可，牛蛙味道不错，鸡排没啥味；烤翅放置有点久，肉质偏硬,1472,20.20538187
221,综合评价好,正面,新品牛蛙不错,- 新品牛蛙不错,1400,4.569761992
222,综合评价好,正面,新品牛蛙不错,- 新品牛蛙不错,1400,4.279294968
223,牛蛙味道好,正面,牛蛙ok,- 牛蛙ok,1397,5.837630033
224,商品错配,负面,我点的塔可套餐里面的香骨鸡换成了大薯都不跟我说一声,- 我点的塔可套餐里面的香骨鸡换成了大薯都不跟我说一声,1429,10.59399891
225,综合评价好,正面,今天尝试了一下牛蛙塔可，非常好吃,- 今天尝试了一下牛蛙塔可，非常好吃，服务好，环境好，取餐快！下次再来,1434,13.09801221
226,出餐速度快,正面,取餐快,- 今天尝试了一下牛蛙塔可，非常好吃，服务好，环境好，取餐快！下次再来,1434,13.09801221
227,牛蛙肉质嫩,正面,牛蛙好嫩,- 牛蛙好嫩好好吃,1404,12.66629481
228,牛蛙味道好,正面,好好吃,- 牛蛙好嫩好好吃,1404,12.66629481
229,综合评价一般,中性,虾塔可比牛蛙塔可好吃点,- 虾塔可比牛蛙塔可好吃点,1410,8.273354053
230,综合评价好,正面,新品牛蛙塔可青年好吃,- 新品牛蛙塔可青年好吃。,1407,8.034742832
231,包装简陋,负面,为什么塔可不用塔可盒包装用小纸袋包装？还是外带！,- 为什么塔可不用塔可盒包装用小纸袋包装？还是外带！这才是推出第二天？我不打一二星不是代表我满意！,1448,16.31857824
232,综合评价一般,负面,这才是推出第二天？我不打一二星不是代表我满意！,- 为什么塔可不用塔可盒包装用小纸袋包装？还是外带！这才是推出第二天？我不打一二星不是代表我满意！,1448,16.31857824
233,综合评价好,正面,新产品牛蛙塔可很好吃,- 新产品牛蛙塔可很好吃，产品很新鲜,1414,10.84663606
234,食材新鲜,正面,产品很新鲜,- 新产品牛蛙塔可很好吃，产品很新鲜,1414,10.84663606
235,综合评价一般,中性,还是龙虾的塔可好吃,- 还是龙虾的塔可好吃，,1405,4.813442945
236,酱料味道好,正面,塔可里面放的什么酱！！！！好好吃！！！！！！！！！！,- 塔可里面放的什么酱！！！！好好吃！！！！！！！！！！,1416,5.587101936
237,综合评价好,正面,服务态度好,- 服务态度好。新品牛蛙好吃。,1407,10.16523409
238,牛蛙味道好,正面,新品牛蛙好吃,- 服务态度好。新品牛蛙好吃。,1407,10.16523409
239,味道好,正面,牛蛙塔可味道不错,- 牛蛙塔可味道不错,1404,5.779505014
240,商品错配,负面,淘宝拍的套餐与到店核销内容不符,- 淘宝拍的套餐与到店核销内容不符！牛蛙块没做的话请不要虚假售卖,1436,11.83117509
241,商品售罄,负面,牛蛙块没做的话请不要虚假售卖,- 淘宝拍的套餐与到店核销内容不符！牛蛙块没做的话请不要虚假售卖,1436,11.83117509
242,牛蛙味道差,负面,这牛蛙不好吃,- 这牛蛙不好吃,1402,6.289248943
243,综合评价好,正面,牛蛙塔可刚出锅，热的很好吃,- 牛蛙塔可刚出锅，热的很好吃,1414,13.48019791
244,整体热/温,正面,牛蛙塔可刚出锅，热的很,- 牛蛙塔可刚出锅，热的很好吃,1414,13.48019791
245,牛蛙味道好,正面,牛蛙好吃,- 牛蛙好吃,1399,9.408572197
246,综合评价好,正面,牛蛙塔克 好吃,- 牛蛙塔克 好吃,1405,5.113692045
247,综合评价好,正面,牛蛙塔颂好吃,- 牛蛙塔颂好吃，什么时候嫩牛五方能返场,1421,5.399693012
248,综合评价好,正面,牛蛙塔可好吃,- 牛蛙塔可好吃，晚点下架,1409,5.748685122
249,综合评价好,正面,好吃非常好吃，塔克很好吃,- 好吃非常好吃，塔克很好吃,1411,7.849381208
250,综合评价一般,中性,牛蛙塔可没有预想的那么好吃,- 牛蛙塔可没有预想的那么好吃，味道差强人意。,1420,10.28088188
251,味道一般,负面,味道差强人意,- 牛蛙塔可没有预想的那么好吃，味道差强人意。,1420,10.28088188
252,整体冷/凉,负面,塔可都凉了,- 塔可都凉了，我并没有耽误取餐时间，这品控如何能出品,1421,4.905478954
253,综合评价好,正面,牛蛙塔可太好吃了,- 牛蛙塔可太好吃了,1405,6.800273895
254,鸡排口感硬,负面,超级塔可的鸡排有点柴,- 青年塔可的鸡肉肥美多汁，但是超级塔可的鸡排有点柴,1427,5.655860901
255,味道差,负面,塔可好难吃,- 塔可好难吃,1400,5.875856876
256,综合评价好,正面,牛蛙塔可好吃！！！,- 牛蛙塔可好吃！！！,1404,5.293913126
257,牛蛙味道辣,负面,牛蛙太辣了,- 牛蛙太辣了,1401,5.655297995
258,鸡排炸得过度,负面,塔可的鸡肉炸的太老了,- 1塔可的鸡肉炸的太老了，2鸡肉是鸡肉，牛蛙是牛蛙，就不是一个组合3奥尔良烤翅干巴巴的，好像做好很久了保存在那里的,1478,11.60395384
259,商品错配,负面,鸡肉是鸡肉，牛蛙是牛蛙，就不是一个组合,- 1塔可的鸡肉炸的太老了，2鸡肉是鸡肉，牛蛙是牛蛙，就不是一个组合3奥尔良烤翅干巴巴的，好像做好很久了保存在那里的,1478,11.60395384
260,综合评价差,负面,牛蛙塔克太难吃了,- 牛蛙塔克太难吃了,1407,8.04145813
261,牛蛙味道辣,负面,塔克有点辣,- 塔克有点辣,1400,4.632119894
262,商品错配,负面,堂食给我的是外带的,- 堂食给我的是外带的，大小塔可外面的鸡排都皮了,1419,8.281289101
263,鸡排酥脆度差,负面,大小塔可外面的鸡排都皮了,- 堂食给我的是外带的，大小塔可外面的鸡排都皮了,1419,8.281289101
264,综合评价差,负面,塔可太难吃,- 服务没问题，塔可太难吃，凉了，咬不动，难吃,1420,16.83624506
265,整体冷/凉,负面,凉了,- 服务没问题，塔可太难吃，凉了，咬不动，难吃,1420,16.83624506
266,口感差,负面,咬不动,- 服务没问题，塔可太难吃，凉了，咬不动，难吃,1420,16.83624506
267,味道差,负面,难吃,- 服务没问题，塔可太难吃，凉了，咬不动，难吃,1420,16.83624506
268,整体冷/凉,负面,塔可太凉了,- 塔可太凉了，皮不脆，肉也硬很难下咽，牛蛙也是一样,1431,23.8146739
269,鸡排酥脆度差,负面,皮不脆,- 塔可太凉了，皮不脆，肉也硬很难下咽，牛蛙也是一样,1431,23.8146739
270,鸡排口感硬,负面,肉也硬很难下咽,- 塔可太凉了，皮不脆，肉也硬很难下咽，牛蛙也是一样,1431,23.8146739
271,牛蛙肉质硬,负面,牛蛙也是一样,- 塔可太凉了，皮不脆，肉也硬很难下咽，牛蛙也是一样,1431,23.8146739
272,整体不熟,负面,牛蛙塔可青年里面的牛蛙感觉没有熟,- 牛蛙塔可青年里面的牛蛙感觉没有熟,1417,4.915836811
273,综合评价差,负面,味道太难吃了，像吃剩下的肯德基又炸了,- 味道太难吃了，像吃剩下的肯德基又炸了，皮是硬的，而且肉还是柴的，肉都干了，吃的鸡肉干，而且塔可里面只有几片菜叶子和一个小肉球，塔可的皮也是硬邦邦的，像在吃塑料一样,1508,34.4846282
274,鸡排口感硬,负面,皮是硬的,- 味道太难吃了，像吃剩下的肯德基又炸了，皮是硬的，而且肉还是柴的，肉都干了，吃的鸡肉干，而且塔可里面只有几片菜叶子和一个小肉球，塔可的皮也是硬邦邦的，像在吃塑料一样,1508,34.4846282
275,整体热/温,负面,肉都干了，吃的鸡肉干,- 味道太难吃了，像吃剩下的肯德基又炸了，皮是硬的，而且肉还是柴的，肉都干了，吃的鸡肉干，而且塔可里面只有几片菜叶子和一个小肉球，塔可的皮也是硬邦邦的，像在吃塑料一样,1508,34.4846282
276,蔬菜分量少,负面,塔可里面只有几片菜叶子,- 味道太难吃了，像吃剩下的肯德基又炸了，皮是硬的，而且肉还是柴的，肉都干了，吃的鸡肉干，而且塔可里面只有几片菜叶子和一个小肉球，塔可的皮也是硬邦邦的，像在吃塑料一样,1508,34.4846282
277,牛蛙肉量少,负面,和一个小肉球,- 味道太难吃了，像吃剩下的肯德基又炸了，皮是硬的，而且肉还是柴的，肉都干了，吃的鸡肉干，而且塔可里面只有几片菜叶子和一个小肉球，塔可的皮也是硬邦邦的，像在吃塑料一样,1508,34.4846282
278,鸡排口感硬,负面,塔可的皮也是硬邦邦的，像在吃塑料一样,- 味道太难吃了，像吃剩下的肯德基又炸了，皮是硬的，而且肉还是柴的，肉都干了，吃的鸡肉干，而且塔可里面只有几片菜叶子和一个小肉球，塔可的皮也是硬邦邦的，像在吃塑料一样,1508,34.4846282
279,综合评价好,正面,新上的小牛蛙塔克好好吃,- 新上的小牛蛙塔克好好吃,1408,7.930196047
280,综合评价好,正面,好吃耶！,- 好吃耶！喜欢吃牛蛙的人太开心啦,1418,9.998171091
281,牛蛙味道好,正面,喜欢吃牛蛙的人太开心啦,- 好吃耶！喜欢吃牛蛙的人太开心啦,1418,9.998171091
282,综合评价差,负面,你们那个taco，什么玩意,- 你们那个taco，什么玩意，里面放一个炸过的牛蛙快，还是凉的,1429,16.70833206
283,牛蛙肉质硬,负面,里面放一个炸过的牛蛙快,- 你们那个taco，什么玩意，里面放一个炸过的牛蛙快，还是凉的,1429,16.70833206
284,整体冷/凉,负面,还是凉的,- 你们那个taco，什么玩意，里面放一个炸过的牛蛙快，还是凉的,1429,16.70833206
285,综合评价好,正面,新出的牛蛙塔克还不错,- 新出的牛蛙塔克还不错，但是我更爱吃龙虾塔克,1423,10.41396093
286,牛蛙味道好,正面,牛蛙的那个蛮好吃的,- 牛蛙的那个蛮好吃的，也蛮快速的，没等多长时间。能多推出一些性价比好的套餐最好了！,1443,18.21295476
287,出餐速度快,正面,也蛮快速的，没等多长时间,- 牛蛙的那个蛮好吃的，也蛮快速的，没等多长时间。能多推出一些性价比好的套餐最好了！,1443,18.21295476
288,价格便宜,正面,能多推出一些性价比好的套餐最好了！,- 牛蛙的那个蛮好吃的，也蛮快速的，没等多长时间。能多推出一些性价比好的套餐最好了！,1443,18.21295476
289,牛蛙味道好,正面,牛蛙很好吃,- 牛蛙很好吃，小姐姐出餐很快，服务真的非常好，环境优美！,1429,13.00215316
290,出餐速度快,正面,小姐姐出餐很快,- 牛蛙很好吃，小姐姐出餐很快，服务真的非常好，环境优美！,1429,13.00215316
291,鸡排炸得干/硬/焦,负面,塔克鸡块炸得太干了,- 塔克鸡块炸得太干了， 太难嚼了,1419,11.72369599
292,鸡排口感硬,负面,太难嚼了,- 塔克鸡块炸得太干了， 太难嚼了,1419,11.72369599
293,综合评价差,负面,牛蛙塔可太难吃了,- 牛蛙塔可太难吃了，那个鸡肉感觉有点像没熟的样子，特别软,1432,14.48796296
294,鸡排口感软,负面,那个鸡肉感觉有点像没熟的样子，特别软,- 牛蛙塔可太难吃了，那个鸡肉感觉有点像没熟的样子，特别软,1432,14.48796296
295,综合评价一般,中性,还可以,- 还可以就是牛蛙骨头太大了,1409,11.15785789
296,牛蛙有骨头,负面,牛蛙骨头太大了,- 还可以就是牛蛙骨头太大了,1409,11.15785789
297,牛蛙味道辣,负面,塔可太辣,- 塔可太辣,1399,5.887345791
298,综合评价一般,中性,新塔可还行,- 新塔可还行,1397,5.868259668
299,牛蛙肉质硬,负面,塔克肉质有点老,- 塔克肉质有点老。,1403,9.190127134
300,综合评价好,正面,塔克好吃,- 塔克好吃，牛蛙很嫩,1410,10.58849907
301,牛蛙肉质嫩,正面,牛蛙很嫩,- 塔克好吃，牛蛙很嫩,1410,10.58849907
302,整体冷/凉,负面,塔克和汉堡都是凉的,- 塔克和汉堡都是凉的，塔可已经软了，特别像剩的,1421,8.990112066
303,口感差,负面,塔可已经软了，特别像剩的,- 塔克和汉堡都是凉的，塔可已经软了，特别像剩的,1421,8.990112066
304,出餐速度慢,负面,我人没到店手机已经提示可以取餐了，我去到之后报号，她说再等等，还没弄好,- 我先手机点餐然后去买了菜，点了塔可玉米杯雪顶，我人没到店手机已经提示可以取餐了，我去到之后报号，她说再等等，还没弄好，我就坐旁边，结果我发了几条信息，她过来给我说玉米杯还没做，要等20分钟问我等不等，我说不等了取消吧。店员就叫我去前台找店长操作，我去到店长又说她直接操作就可以了，不需要我，我就问了她一遍，是不是不需要我操作任何东西，她说是。结果我坐在那又等了5分钟，我问前台还不可以取餐吗，她问我几号，我说你们店长重新操作的，我不知道我几号，然后那个店员说，店长只是帮你全部取消了，你要的东西还得自己重新操作,1663,30.6578908
305,商品漏配,负面,她过来给我说玉米杯还没做，要等20分钟问我等不等，我说不等了取消吧,- 我先手机点餐然后去买了菜，点了塔可玉米杯雪顶，我人没到店手机已经提示可以取餐了，我去到之后报号，她说再等等，还没弄好，我就坐旁边，结果我发了几条信息，她过来给我说玉米杯还没做，要等20分钟问我等不等，我说不等了取消吧。店员就叫我去前台找店长操作，我去到店长又说她直接操作就可以了，不需要我，我就问了她一遍，是不是不需要我操作任何东西，她说是。结果我坐在那又等了5分钟，我问前台还不可以取餐吗，她问我几号，我说你们店长重新操作的，我不知道我几号，然后那个店员说，店长只是帮你全部取消了，你要的东西还得自己重新操作,1663,30.6578908
306,综合评价差,负面,店员就叫我去前台找店长操作，我去到店长又说她直接操作就可以了，不需要我，我就问了她一遍，是不是不需要我操作任何东西，她说是。结果我坐在那又等了5分钟，我问前台还不可以取餐吗，她问我几号，我说你们店长重新操作的，我不知道我几号，然后那个店员说，店长只是帮你全部取消了，你要的东西还得自己重新操作,- 我先手机点餐然后去买了菜，点了塔可玉米杯雪顶，我人没到店手机已经提示可以取餐了，我去到之后报号，她说再等等，还没弄好，我就坐旁边，结果我发了几条信息，她过来给我说玉米杯还没做，要等20分钟问我等不等，我说不等了取消吧。店员就叫我去前台找店长操作，我去到店长又说她直接操作就可以了，不需要我，我就问了她一遍，是不是不需要我操作任何东西，她说是。结果我坐在那又等了5分钟，我问前台还不可以取餐吗，她问我几号，我说你们店长重新操作的，我不知道我几号，然后那个店员说，店长只是帮你全部取消了，你要的东西还得自己重新操作,1663,30.6578908
307,份量大,正面,塔克牛蛙可真大啊！！！,- 塔克牛蛙可真大啊！！！,1408,4.21020627
308,商品错配,负面,要牛蛙塔可，结果给我小龙虾塔可,- 要牛蛙塔可，结果给我小龙虾塔可。有点不开心,1420,5.533674955
309,综合评价好,正面,塔可终于又上了，大爱,- 塔可终于又上了，大爱,1406,5.861780882
310,综合评价好,正面,牛蛙产品看广告试吃了一下，还不错,- 牛蛙产品看广告试吃了一下，还不错，口感酥脆,1419,12.66288209
311,口感好,正面,口感酥脆,- 牛蛙产品看广告试吃了一下，还不错，口感酥脆,1419,12.66288209
312,综合评价好,正面,牛蛙产品看广告试吃了一下，还不错,- 牛蛙产品看广告试吃了一下，还不错，口感酥脆,1419,10.02634692
313,口感好,正面,口感酥脆,- 牛蛙产品看广告试吃了一下，还不错，口感酥脆,1419,10.02634692
314,鸡排新鲜度差,负面,牛蛙塔可鸡肉很老，感觉不新鲜,- 牛蛙塔可鸡肉很老，感觉不新鲜,1416,8.138395071
315,牛蛙有骨头,负面,牛蛙去骨就好了,- 牛蛙去骨就好了,1403,7.174947023
316,综合评价好,正面,好吃的塔克,- 好吃的塔克,1401,4.066352844
317,味道好,正面,塔可味道很好,- 塔可味道很好,1401,5.789659977
318,牛蛙味道好,正面,牛蛙好吃,- 牛蛙好吃，全鸡好吃,1407,5.579388857
319,份量小,负面,牛蛙塔可太小了,- 牛蛙塔可太小了，味道一般。跟小龙虾塔可味道差远了,1429,12.6403091
320,味道一般,负面,味道一般,- 牛蛙塔可太小了，味道一般。跟小龙虾塔可味道差远了,1429,12.6403091
321,味道差,负面,跟小龙虾塔可味道差远了,- 牛蛙塔可太小了，味道一般。跟小龙虾塔可味道差远了,1429,12.6403091
322,牛蛙味道好,正面,牛蛙腿好吃,- 牛蛙腿好吃,1402,8.06415391
323,综合评价好,正面,牛蛙塔可真好吃,- 牛蛙塔可真好吃,1403,5.842685938
324,价格贵,负面,这个14块钱一个的牛蛙塔克,- 这个14块钱一个的牛蛙塔克也太小了吧，比一个拳头还小，而且说实话不咋好吃，肯定是不会再点了！,1450,22.74168491
325,份量小,负面,也太小了吧，比一个拳头还小,- 这个14块钱一个的牛蛙塔克也太小了吧，比一个拳头还小，而且说实话不咋好吃，肯定是不会再点了！,1450,22.74168491
326,味道差,负面,而且说实话不咋好吃,- 这个14块钱一个的牛蛙塔克也太小了吧，比一个拳头还小，而且说实话不咋好吃，肯定是不会再点了！,1450,22.74168491
327,综合评价差,负面,肯定是不会再点了！,- 这个14块钱一个的牛蛙塔克也太小了吧，比一个拳头还小，而且说实话不咋好吃，肯定是不会再点了！,1450,22.74168491
328,整体冷/凉,负面,新品塔克凉了,- 新品塔克凉了，过了最佳品尝期,1410,11.34555411
329,放置时间久,负面,过了最佳品尝期,- 新品塔克凉了，过了最佳品尝期,1410,11.34555411
330,不卫生,负面,塔克吃出睫毛,- 塔克吃出睫毛,1403,4.480988741
331,出餐速度慢,负面,到的时候还在打包 app早就显示可以取餐了,- 到的时候还在打包 app早就显示可以取餐了牛蛙塔可却还是温的一点都不好吃 现场并没有其他人在等待 出餐一点都不可靠,1457,16.52962112
332,整体冷/凉,负面,牛蛙塔可却还是温的,- 到的时候还在打包 app早就显示可以取餐了牛蛙塔可却还是温的一点都不好吃 现场并没有其他人在等待 出餐一点都不可靠,1457,16.52962112
333,味道差,负面,一点都不好吃,- 到的时候还在打包 app早就显示可以取餐了牛蛙塔可却还是温的一点都不好吃 现场并没有其他人在等待 出餐一点都不可靠,1457,16.52962112
